trade_id,pair,direction,setup_type,entry_price,sl_price,tp1,tp2,position_size,leverage,entry_time,close_time,exit_price,pnl_usd,exit_reason
1,ETH/USDT,short,setup_a,2559.59,2578.00,2541.19,2513.58,5.433011,1.39,2026-03-01 01:30,2026-03-01 01:30,2513.58,236.22,tp
2,ETH/USDT,long,setup_h,1987.84,1953.01,2022.67,2057.50,2.938909,0.57,2026-03-01 18:10,2026-03-01 18:15,2057.50,198.78,tp
3,ETH/USDT,long,setup_h,1946.62,1925.73,1967.51,1988.40,4.995212,0.93,2026-03-01 22:15,2026-03-01 22:30,1988.40,198.87,tp
4,ETH/USDT,long,setup_h,1965.69,1942.65,1988.73,2011.77,4.615395,0.85,2026-03-02 01:00,2026-03-02 01:15,2011.77,203.50,tp
5,ETH/USDT,long,setup_h,1973.86,1940.16,2007.56,2041.26,3.215837,0.59,2026-03-02 03:25,2026-03-02 03:30,2041.26,210.29,tp
6,ETH/USDT,long,setup_h,1949.41,1962.04,1962.04,1974.67,8.747158,1.54,2026-03-02 06:30,2026-03-02 06:30,1962.04,93.37,sl
7,ETH/USDT,long,setup_h,2491.01,2416.28,2565.74,2640.47,1.490832,0.33,2026-03-02 07:30,2026-03-02 07:30,2416.28,-115.07,sl
8,ETH/USDT,long,setup_h,1948.82,1926.77,1970.87,1992.92,5.000436,0.88,2026-03-02 09:00,2026-03-02 09:15,1992.92,210.66,tp
9,ETH/USDT,long,setup_h,1952.76,1920.16,1985.36,2017.96,3.446818,0.60,2026-03-02 14:30,2026-03-02 14:45,2017.96,217.89,tp
10,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.452678,0.97,2026-03-02 15:00,2026-03-02 15:00,2431.83,218.15,tp
11,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.537478,0.97,2026-03-02 17:15,2026-03-02 17:15,2431.83,222.30,tp
12,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.623893,0.97,2026-03-02 18:00,2026-03-02 18:00,2509.00,-130.49,sl
13,ETH/USDT,long,setup_a,2465.55,2444.73,2486.37,2517.60,5.650699,1.18,2026-03-02 19:45,2026-03-02 19:45,2444.73,-131.52,sl
14,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,8.001758,1.40,2026-03-02 20:10,2026-03-02 20:15,2052.64,158.16,tp
15,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,8.110546,1.40,2026-03-02 21:00,2026-03-02 21:15,2052.64,160.31,tp
16,ETH/USDT,long,setup_d_bos,2030.84,2016.30,2045.38,2052.64,8.220814,1.40,2026-03-02 23:30,2026-03-02 23:45,2052.64,162.49,tp
17,ETH/USDT,long,setup_h,2472.00,2502.00,2502.00,2532.00,4.037969,0.82,2026-03-03 06:15,2026-03-03 06:15,2502.00,111.10,sl
18,ETH/USDT,long,setup_h,2553.06,2528.40,2577.72,2602.38,4.957422,1.04,2026-03-03 11:45,2026-03-03 12:00,2553.06,-12.66,breakeven_sl
19,ETH/USDT,long,setup_h,2547.01,2499.95,2594.07,2641.13,2.595059,0.54,2026-03-03 14:00,2026-03-03 14:00,2499.95,-128.67,sl
20,ETH/USDT,long,setup_h,2592.25,2525.43,2659.07,2725.89,1.808392,0.39,2026-03-03 16:15,2026-03-03 20:15,2581.25,-24.57,timeout
21,ETH/USDT,long,setup_h,2583.87,2560.00,2607.74,2631.61,5.051991,1.08,2026-03-04 01:30,2026-03-04 03:30,2560.00,-133.58,sl
22,ETH/USDT,short,setup_b,2563.12,2595.79,2530.45,2497.78,3.650297,0.78,2026-03-04 10:00,2026-03-04 10:15,2595.79,-128.67,sl
23,ETH/USDT,long,setup_b,2445.84,2410.00,2481.68,2517.53,3.291302,0.68,2026-03-04 13:15,2026-03-04 13:15,2517.53,227.77,tp
24,ETH/USDT,long,setup_h,2244.90,2177.55,2312.25,2379.59,1.785472,0.33,2026-03-04 15:05,2026-03-04 15:15,2312.25,116.18,trailing_sl
25,ETH/USDT,short,setup_h,2104.09,2126.87,2081.31,2058.53,5.329585,0.92,2026-03-05 07:45,2026-03-05 09:00,2126.87,-132.68,sl
26,ETH/USDT,short,setup_a,2151.46,2163.52,2139.39,2121.30,9.954912,1.78,2026-03-05 10:30,2026-03-05 12:45,2139.39,98.72,trailing_sl
27,ETH/USDT,long,setup_a,2112.71,2094.38,2131.04,2158.53,6.605290,1.15,2026-03-05 13:30,2026-03-05 15:00,2094.38,-134.96,sl
28,ETH/USDT,short,setup_h,2064.42,2077.50,2051.34,2038.26,9.152808,1.58,2026-03-06 01:30,2026-03-06 01:30,2077.50,-138.67,sl
29,ETH/USDT,short,setup_h,2077.47,2090.71,2064.23,2050.99,8.937462,1.57,2026-03-06 03:00,2026-03-06 06:45,2077.47,-18.57,breakeven_sl
30,ETH/USDT,short,setup_h,2083.30,2070.96,2070.96,2058.62,9.574256,1.69,2026-03-06 07:30,2026-03-06 07:30,2070.96,98.26,sl
31,ETH/USDT,short,setup_h,2062.55,2079.81,2045.29,2028.03,6.902023,1.19,2026-03-06 09:15,2026-03-06 10:00,2062.55,-14.24,breakeven_sl
32,ETH/USDT,short,setup_h,2048.45,2065.41,2031.49,2014.53,7.015717,1.21,2026-03-06 12:00,2026-03-06 13:45,2031.49,104.67,trailing_sl
33,ETH/USDT,short,setup_h,1959.01,1981.32,1936.70,1914.39,5.380247,0.88,2026-03-06 17:40,2026-03-06 18:30,1981.32,-130.63,sl
34,ETH/USDT,short,setup_h,1994.05,1982.29,1982.29,1970.53,10.095831,1.70,2026-03-07 03:10,2026-03-07 03:10,1982.29,98.65,sl
35,ETH/USDT,short,setup_h,1966.44,1995.00,1937.88,1909.32,4.191650,0.69,2026-03-07 04:05,2026-03-07 08:05,1981.32,-70.65,timeout
36,ETH/USDT,short,setup_h,1973.64,1994.14,1953.14,1932.64,5.805223,0.96,2026-03-07 14:00,2026-03-07 18:00,1970.79,5.10,timeout
37,ETH/USDT,short,setup_h,1969.68,1982.93,1956.43,1943.18,8.985511,1.49,2026-03-07 18:00,2026-03-07 19:15,1969.68,-17.70,breakeven_sl
38,ETH/USDT,short,setup_h,1948.78,1967.49,1930.07,1911.36,6.353877,1.04,2026-03-08 02:45,2026-03-08 02:45,1967.49,-131.32,sl
39,ETH/USDT,short,setup_h,1937.26,1952.40,1922.12,1906.98,7.765377,1.28,2026-03-08 05:00,2026-03-08 07:00,1952.40,-132.67,sl
40,ETH/USDT,short,setup_h,1954.64,1976.50,1932.78,1910.92,5.317525,0.89,2026-03-08 11:10,2026-03-08 15:10,1945.18,39.94,timeout
41,ETH/USDT,long,setup_a,1943.26,1928.39,1958.13,1980.43,7.844276,1.31,2026-03-08 21:15,2026-03-08 22:00,1928.39,-131.83,sl
42,ETH/USDT,short,setup_h,1944.73,1965.38,1924.08,1903.43,5.584610,0.94,2026-03-09 01:45,2026-03-09 03:00,1965.38,-126.24,sl
43,ETH/USDT,short,setup_g,1990.26,2006.35,1974.16,1958.07,7.086660,1.24,2026-03-09 08:15,2026-03-09 09:30,2006.35,-128.22,sl
44,ETH/USDT,short,setup_g,1990.26,2006.35,1974.16,1958.07,7.006995,1.24,2026-03-09 10:00,2026-03-09 10:05,2006.35,-126.78,sl
45,ETH/USDT,short,setup_g,1990.26,2006.35,1974.16,1958.07,6.928225,1.24,2026-03-09 11:00,2026-03-09 12:15,2006.35,-125.35,sl
46,ETH/USDT,short,setup_h,2037.95,2056.50,2019.40,2000.85,5.943733,1.10,2026-03-10 13:30,2026-03-10 13:30,2056.50,-122.42,sl
47,ETH/USDT,short,setup_h,2021.53,2047.45,1995.61,1969.69,4.206481,0.78,2026-03-10 21:45,2026-03-11 01:45,2035.50,-67.30,timeout
48,ETH/USDT,short,setup_h,2020.09,2037.09,2003.09,1986.09,6.374060,1.19,2026-03-11 02:40,2026-03-11 04:45,2037.09,-121.29,sl
49,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.537540,1.46,2026-03-11 13:30,2026-03-11 13:30,2057.05,91.59,trailing_sl
50,ETH/USDT,long,setup_b,2031.27,2018.45,2044.10,2056.92,8.427530,1.58,2026-03-11 15:30,2026-03-11 15:30,2031.27,-17.12,breakeven_sl
51,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.589927,1.46,2026-03-11 21:45,2026-03-12 00:30,2057.05,92.22,trailing_sl
52,ETH/USDT,short,setup_h,2028.71,2052.34,2005.08,1981.45,4.604869,0.86,2026-03-12 02:45,2026-03-12 06:45,2029.76,-14.18,timeout
53,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.644830,1.46,2026-03-12 10:30,2026-03-12 11:45,2071.27,-15.83,breakeven_sl
54,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.633691,1.46,2026-03-12 13:30,2026-03-12 13:30,2071.27,-15.81,breakeven_sl
55,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.622568,1.46,2026-03-12 15:30,2026-03-12 16:00,2071.27,-15.79,breakeven_sl
56,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.611461,1.46,2026-03-12 16:30,2026-03-12 18:15,2057.05,92.49,trailing_sl
57,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.676523,1.46,2026-03-12 19:45,2026-03-12 23:00,2071.27,-15.90,breakeven_sl
58,ETH/USDT,short,setup_g,2071.27,2085.48,2057.05,2042.84,7.665338,1.46,2026-03-12 23:15,2026-03-12 23:15,2085.48,-124.89,sl
59,ETH/USDT,long,setup_h,2088.99,2063.87,2114.11,2139.23,4.287971,0.83,2026-03-13 00:00,2026-03-13 00:15,2088.99,-8.96,breakeven_sl
60,ETH/USDT,long,setup_h,2110.51,2090.57,2130.45,2150.39,5.397405,1.06,2026-03-13 08:40,2026-03-13 12:40,2128.66,86.52,timeout
61,ETH/USDT,long,setup_h,2158.85,2182.02,2182.02,2205.19,4.682326,0.93,2026-03-13 15:00,2026-03-13 15:00,2182.02,98.33,sl
62,ETH/USDT,long,setup_h,2091.84,2080.33,2103.35,2114.86,9.511099,1.82,2026-03-14 05:00,2026-03-14 06:30,2080.33,-129.31,sl
63,ETH/USDT,long,setup_h,2096.15,2084.60,2107.70,2119.25,9.366201,1.81,2026-03-14 23:10,2026-03-15 01:00,2084.60,-127.76,sl
64,ETH/USDT,long,setup_h,2094.43,2082.26,2106.60,2118.77,8.784062,1.72,2026-03-15 02:10,2026-03-15 03:15,2094.43,-18.40,breakeven_sl
65,ETH/USDT,long,setup_h,2109.45,2098.33,2120.57,2131.69,9.596948,1.90,2026-03-15 05:15,2026-03-15 09:15,2116.70,49.30,timeout
66,ETH/USDT,long,setup_h,2095.65,2108.00,2108.00,2120.35,8.681056,1.70,2026-03-15 13:10,2026-03-15 13:10,2108.00,88.96,sl
67,ETH/USDT,long,setup_h,2116.21,2087.63,2144.79,2173.37,3.782390,0.74,2026-03-15 17:55,2026-03-15 21:55,2138.33,75.62,timeout
68,ETH/USDT,long,setup_g,2154.74,2140.07,2169.42,2184.09,7.417847,1.47,2026-03-15 22:30,2026-03-15 22:30,2140.07,-124.79,sl
69,ETH/USDT,long,setup_h,2264.57,2237.00,2292.14,2319.71,3.903121,0.82,2026-03-16 04:40,2026-03-16 08:30,2237.00,-116.39,sl
70,ETH/USDT,long,setup_h,2276.86,2258.33,2295.39,2313.92,5.744474,1.23,2026-03-16 11:00,2026-03-16 12:15,2276.86,-13.08,breakeven_sl
71,ETH/USDT,long,setup_h,2289.89,2270.32,2309.46,2329.03,5.432514,1.17,2026-03-16 13:30,2026-03-16 14:30,2270.32,-118.70,sl
72,ETH/USDT,long,setup_h,2299.98,2268.56,2331.40,2362.82,3.345872,0.73,2026-03-16 17:10,2026-03-16 19:00,2331.40,97.38,trailing_sl
73,ETH/USDT,long,setup_h,2379.98,2353.50,2406.46,2432.94,4.006839,0.90,2026-03-16 22:10,2026-03-16 23:00,2353.50,-115.58,sl
74,ETH/USDT,long,setup_h,2365.94,2328.99,2402.89,2439.84,2.840196,0.64,2026-03-17 00:15,2026-03-17 03:30,2328.99,-111.61,sl
75,ETH/USDT,long,setup_h,2326.47,2312.75,2340.19,2353.91,7.567720,1.70,2026-03-17 04:10,2026-03-17 04:15,2312.75,-121.38,sl
76,ETH/USDT,long,setup_h,2334.94,2312.20,2357.68,2380.42,4.512546,1.03,2026-03-17 13:30,2026-03-17 15:30,2312.20,-113.10,sl
77,ETH/USDT,long,setup_h,2319.70,2308.01,2331.39,2343.08,8.681290,1.98,2026-03-18 00:45,2026-03-18 02:30,2331.39,81.30,trailing_sl
78,ETH/USDT,long,setup_h,2340.46,2308.01,2372.91,2405.36,3.152457,0.72,2026-03-18 03:30,2026-03-18 07:30,2312.71,-94.82,timeout
79,ETH/USDT,long,setup_h,2209.71,2179.00,2240.42,2271.13,3.300198,0.72,2026-03-18 17:40,2026-03-18 18:45,2179.00,-108.59,sl
80,ETH/USDT,long,setup_h,2202.91,2189.45,2216.37,2229.83,7.448973,1.64,2026-03-18 23:55,2026-03-19 00:30,2189.45,-116.62,sl
81,ETH/USDT,long,setup_h,2222.98,2197.76,2248.20,2273.42,3.929300,0.88,2026-03-19 03:15,2026-03-19 04:05,2197.76,-107.78,sl
82,ETH/USDT,long,setup_h,2170.41,2158.41,2182.41,2194.41,8.168261,1.81,2026-03-19 07:40,2026-03-19 08:15,2158.41,-115.70,sl
83,ETH/USDT,short,setup_h,2040.01,2058.69,2021.33,2002.65,5.185340,1.09,2026-03-23 00:40,2026-03-23 01:15,2058.69,-107.49,sl
84,ETH/USDT,short,setup_h,2038.42,2064.14,2012.70,1986.98,3.724232,0.79,2026-03-23 06:40,2026-03-23 10:40,2043.50,-26.52,timeout
85,ETH/USDT,short,setup_h,2144.48,2198.00,2090.96,2037.44,1.784792,0.40,2026-03-23 12:40,2026-03-23 16:40,2130.64,20.89,timeout
86,ETH/USDT,short,setup_h,2149.00,2161.40,2136.60,2124.20,7.720235,1.73,2026-03-23 22:10,2026-03-24 00:30,2136.60,79.19,trailing_sl
87,ETH/USDT,short,setup_h,2130.04,2149.53,2110.55,2091.06,4.952427,1.09,2026-03-24 01:30,2026-03-24 04:00,2149.53,-107.12,sl
88,ETH/USDT,long,setup_b,2121.41,2107.11,2135.71,2150.02,6.673770,1.48,2026-03-24 14:45,2026-03-24 14:50,2121.41,-14.16,breakeven_sl
89,ETH/USDT,long,setup_b,2121.41,2107.11,2135.71,2150.02,6.663871,1.48,2026-03-24 16:30,2026-03-24 16:35,2121.41,-14.14,breakeven_sl
90,ETH/USDT,short,setup_h,2112.95,2129.86,2096.04,2079.13,5.627951,1.25,2026-03-24 17:15,2026-03-24 20:15,2129.86,-107.11,sl
91,ETH/USDT,long,setup_h,2178.20,2161.00,2195.40,2212.60,5.470789,1.27,2026-03-25 08:15,2026-03-25 11:45,2178.20,-11.92,breakeven_sl
92,ETH/USDT,short,setup_a,2183.93,2197.46,2170.39,2150.10,6.944645,1.61,2026-03-25 16:15,2026-03-25 16:25,2170.39,78.86,trailing_sl
93,ETH/USDT,long,setup_h,2174.07,2161.24,2186.90,2199.73,7.386360,1.69,2026-03-25 22:30,2026-03-26 01:15,2161.24,-110.78,sl
94,ETH/USDT,short,setup_h,2048.49,2065.30,2031.68,2014.87,5.571637,1.22,2026-03-26 18:00,2026-03-26 20:00,2065.30,-105.12,sl
95,ETH/USDT,short,setup_h,2059.48,2075.09,2043.87,2028.26,5.932609,1.32,2026-03-27 03:25,2026-03-27 04:00,2059.48,-12.22,breakeven_sl
96,ETH/USDT,short,setup_h,2050.45,2074.31,2026.59,2002.73,3.876188,0.86,2026-03-27 04:25,2026-03-27 08:25,2053.33,-19.12,timeout
97,ETH/USDT,short,setup_h,2009.72,2044.13,1975.31,1940.90,2.682205,0.58,2026-03-27 10:40,2026-03-27 14:40,1977.73,80.46,timeout
98,ETH/USDT,long,setup_a,1991.30,1962.54,2020.06,2063.20,3.237108,0.69,2026-03-27 15:45,2026-03-28 03:45,1988.12,-16.73,timeout
99,ETH/USDT,short,setup_h,2019.91,2054.01,1985.81,1951.71,2.725275,0.59,2026-03-28 14:45,2026-03-28 18:45,2020.67,-7.58,timeout
100,ETH/USDT,short,setup_h,2009.79,2021.67,1997.91,1986.03,7.816171,1.69,2026-03-28 21:55,2026-03-28 23:00,1997.91,77.19,trailing_sl
101,ETH/USDT,short,setup_h,1995.73,2008.94,1982.52,1969.31,7.087665,1.51,2026-03-29 10:00,2026-03-29 13:00,1995.73,-14.15,breakeven_sl
102,ETH/USDT,short,setup_h,1965.54,1995.18,1935.90,1906.26,3.154069,0.66,2026-03-29 22:45,2026-03-30 00:15,1995.18,-99.73,sl
103,ETH/USDT,long,setup_h,2058.66,2040.00,2077.32,2095.98,4.956553,1.10,2026-03-30 07:55,2026-03-30 11:55,2070.48,48.35,timeout
104,ETH/USDT,long,setup_h,2063.11,2050.01,2076.21,2089.31,7.097161,1.57,2026-03-30 14:55,2026-03-30 15:15,2063.11,-14.64,breakeven_sl
